,time,HR
0,00:00:00,62.0
1,00:01:00,64.0
2,00:02:00,71.0
3,00:03:00,70.0
4,00:04:00,68.0
5,00:05:00,66.0
6,00:06:00,68.0
7,00:07:00,73.0
8,00:08:00,66.0
9,00:09:00,64.0
10,00:10:00,70.0
11,00:11:00,68.0
12,00:12:00,67.0
13,00:13:00,74.0
14,00:14:00,69.0
15,00:15:00,72.0
16,00:16:00,78.0
17,00:17:00,69.0
18,00:18:00,67.0
19,00:19:00,69.0
20,00:20:00,70.0
21,00:21:00,70.0
22,00:22:00,68.0
23,00:23:00,70.0
24,00:24:00,68.0
25,00:25:00,64.0
26,00:26:00,65.0
27,00:27:00,68.0
28,00:28:00,66.0
29,00:29:00,63.0
30,00:30:00,63.0
31,00:31:00,63.0
32,00:32:00,66.0
33,00:33:00,66.0
34,00:34:00,66.0
35,00:35:00,68.0
36,00:36:00,68.0
37,00:37:00,72.0
38,00:38:00,64.0
39,00:39:00,62.0
40,00:40:00,63.0
41,00:41:00,63.0
42,00:42:00,63.0
43,00:43:00,63.0
44,00:44:00,61.0
45,00:45:00,63.0
46,00:46:00,62.0
47,00:47:00,63.0
48,00:48:00,62.0
49,00:49:00,64.0
50,00:50:00,63.0
51,00:51:00,62.0
52,00:52:00,62.0
53,00:53:00,64.0
54,00:54:00,61.0
55,00:55:00,62.0
56,00:56:00,62.0
57,00:57:00,62.0
58,00:58:00,63.0
59,00:59:00,64.0
60,01:00:00,63.0
61,01:01:00,62.0
62,01:02:00,62.0
63,01:03:00,65.0
64,01:04:00,76.0
65,01:05:00,72.0
66,01:06:00,70.0
67,01:07:00,68.0
68,01:08:00,77.0
69,01:09:00,65.0
70,01:10:00,61.0
71,01:11:00,61.0
72,01:12:00,62.0
73,01:13:00,61.0
74,01:14:00,61.0
75,01:15:00,61.0
76,01:16:00,61.0
77,01:17:00,63.0
78,01:18:00,62.0
79,01:19:00,61.0
80,01:20:00,60.0
81,01:21:00,61.0
82,01:22:00,61.0
83,01:23:00,60.0
84,01:24:00,61.0
85,01:25:00,65.0
86,01:26:00,65.0
87,01:27:00,65.0
88,01:28:00,63.0
89,01:29:00,66.0
90,01:30:00,63.0
91,01:31:00,62.0
92,01:32:00,61.0
93,01:33:00,66.0
94,01:34:00,65.0
95,01:35:00,65.0
96,01:36:00,62.0
97,01:37:00,63.0
98,01:38:00,61.0
99,01:39:00,67.0
100,01:40:00,62.0
101,01:41:00,63.0
102,01:42:00,64.0
103,01:43:00,61.0
104,01:44:00,57.0
105,01:45:00,55.0
106,01:46:00,57.0
107,01:47:00,58.0
108,01:48:00,54.0
109,01:49:00,55.0
110,01:50:00,56.0
111,01:51:00,55.0
112,01:52:00,56.0
113,01:53:00,55.0
114,01:54:00,55.0
115,01:55:00,56.0
116,01:56:00,54.0
117,01:57:00,58.0
118,01:58:00,55.0
119,01:59:00,55.0
120,02:00:00,56.0
121,02:01:00,62.0
122,02:02:00,55.0
123,02:03:00,52.0
124,02:04:00,56.0
125,02:05:00,55.0
126,02:06:00,55.0
127,02:07:00,54.0
128,02:08:00,55.0
129,02:09:00,56.0
130,02:10:00,56.0
131,02:11:00,55.0
132,02:12:00,55.0
133,02:13:00,54.0
134,02:14:00,56.0
135,02:15:00,56.0
136,02:16:00,55.0
137,02:17:00,54.0
138,02:18:00,55.0
139,02:19:00,56.0
140,02:20:00,56.0
141,02:21:00,56.0
142,02:22:00,58.0
143,02:23:00,56.0
144,02:24:00,56.0
145,02:25:00,55.0
146,02:26:00,53.0
147,02:27:00,56.0
148,02:28:00,55.0
149,02:29:00,56.0
150,02:30:00,59.0
151,02:31:00,67.0
152,02:32:00,57.0
153,02:33:00,56.0
154,02:34:00,55.0
155,02:35:00,54.0
156,02:36:00,55.0
157,02:37:00,54.0
158,02:38:00,52.0
159,02:39:00,54.0
160,02:40:00,53.0
161,02:41:00,53.0
162,02:42:00,53.0
163,02:43:00,54.0
164,02:44:00,53.0
165,02:45:00,54.0
166,02:46:00,54.0
167,02:47:00,54.0
168,02:48:00,54.0
169,02:49:00,54.0
170,02:50:00,54.0
171,02:51:00,55.0
172,02:52:00,54.0
173,02:53:00,59.0
174,02:54:00,54.0
175,02:55:00,55.0
176,02:56:00,53.0
177,02:57:00,53.0
178,02:58:00,53.0
179,02:59:00,54.0
180,03:00:00,54.0
181,03:01:00,53.0
182,03:02:00,52.0
183,03:03:00,51.0
184,03:04:00,52.0
185,03:05:00,53.0
186,03:06:00,51.0
187,03:07:00,53.0
188,03:08:00,52.0
189,03:09:00,53.0
190,03:10:00,52.0
191,03:11:00,52.0
192,03:12:00,52.0
193,03:13:00,56.0
194,03:14:00,63.0
195,03:15:00,58.0
196,03:16:00,59.0
197,03:17:00,61.0
198,03:18:00,59.0
199,03:19:00,58.0
200,03:20:00,60.0
201,03:21:00,58.0
202,03:22:00,60.0
203,03:23:00,58.0
204,03:24:00,59.0
205,03:25:00,59.0
206,03:26:00,59.0
207,03:27:00,60.0
208,03:28:00,59.0
209,03:29:00,60.0
210,03:30:00,60.0
211,03:31:00,64.0
212,03:32:00,55.0
213,03:33:00,56.0
214,03:34:00,57.0
215,03:35:00,57.0
216,03:36:00,55.0
217,03:37:00,55.0
218,03:38:00,55.0
219,03:39:00,55.0
220,03:40:00,54.0
221,03:41:00,53.0
222,03:42:00,53.0
223,03:43:00,55.0
224,03:44:00,52.0
225,03:45:00,52.0
226,03:46:00,52.0
227,03:47:00,50.0
228,03:48:00,51.0
229,03:49:00,53.0
230,03:50:00,51.0
231,03:51:00,51.0
232,03:52:00,53.0
233,03:53:00,53.0
234,03:54:00,51.0
235,03:55:00,50.0
236,03:56:00,51.0
237,03:57:00,52.0
238,03:58:00,52.0
239,03:59:00,52.0
240,04:00:00,51.0
241,04:01:00,52.0
242,04:02:00,52.0
243,04:03:00,51.0
244,04:04:00,51.0
245,04:05:00,51.0
246,04:06:00,52.0
247,04:07:00,51.0
248,04:08:00,52.0
249,04:09:00,52.0
250,04:10:00,52.0
251,04:11:00,52.0
252,04:12:00,53.0
253,04:13:00,53.0
254,04:14:00,54.0
255,04:15:00,52.0
256,04:16:00,53.0
257,04:17:00,52.0
258,04:18:00,53.0
259,04:19:00,52.0
260,04:20:00,52.0
261,04:21:00,52.0
262,04:22:00,52.0
263,04:23:00,52.0
264,04:24:00,52.0
265,04:25:00,52.0
266,04:26:00,52.0
267,04:27:00,52.0
268,04:28:00,51.0
269,04:29:00,52.0
270,04:30:00,52.0
271,04:31:00,61.0
272,04:32:00,58.0
273,04:33:00,53.0
274,04:34:00,54.0
275,04:35:00,53.0
276,04:36:00,53.0
277,04:37:00,52.0
278,04:38:00,52.0
279,04:39:00,51.0
280,04:40:00,51.0
281,04:41:00,52.0
282,04:42:00,52.0
283,04:43:00,53.0
284,04:44:00,57.0
285,04:45:00,52.0
286,04:46:00,52.0
287,04:47:00,51.0
288,04:48:00,51.0
289,04:49:00,52.0
290,04:50:00,52.0
291,04:51:00,52.0
292,04:52:00,52.0
293,04:53:00,52.0
294,04:54:00,52.0
295,04:55:00,52.0
296,04:56:00,51.0
297,04:57:00,52.0
298,04:58:00,52.0
299,04:59:00,52.0
300,05:00:00,52.0
301,05:01:00,52.0
302,05:02:00,52.0
303,05:03:00,53.0
304,05:04:00,52.0
305,05:05:00,52.0
306,05:06:00,53.0
307,05:07:00,53.0
308,05:08:00,53.0
309,05:09:00,64.0
310,05:10:00,54.0
311,05:11:00,54.0
312,05:12:00,54.0
313,05:13:00,54.0
314,05:14:00,52.0
315,05:15:00,54.0
316,05:16:00,59.0
317,05:17:00,62.0
318,05:18:00,63.0
319,05:19:00,63.0
320,05:20:00,60.0
321,05:21:00,59.0
322,05:22:00,62.0
323,05:23:00,65.0
324,05:24:00,61.0
325,05:25:00,63.0
326,05:26:00,62.0
327,05:27:00,62.0
328,05:28:00,59.0
329,05:29:00,58.0
330,05:30:00,59.0
331,05:31:00,61.0
332,05:32:00,64.0
333,05:33:00,65.0
334,05:34:00,66.0
335,05:35:00,67.0
336,05:36:00,64.0
337,05:37:00,62.0
338,05:38:00,62.0
339,05:39:00,63.0
340,05:40:00,63.0
341,05:41:00,63.0
342,05:42:00,61.0
343,05:43:00,60.0
344,05:44:00,60.0
345,05:45:00,59.0
346,05:46:00,59.0
347,05:47:00,59.0
348,05:48:00,58.0
349,05:49:00,58.0
350,05:50:00,58.0
351,05:51:00,58.0
352,05:52:00,58.0
353,05:53:00,59.0
354,05:54:00,60.0
355,05:55:00,60.0
356,05:56:00,59.0
357,05:57:00,60.0
358,05:58:00,62.0
359,05:59:00,61.0
360,06:00:00,60.0
361,06:01:00,59.0
362,06:02:00,60.0
363,06:03:00,61.0
364,06:04:00,61.0
365,06:05:00,60.0
366,06:06:00,58.0
367,06:07:00,59.0
368,06:08:00,59.0
369,06:09:00,63.0
370,06:10:00,58.0
371,06:11:00,58.0
372,06:12:00,58.0
373,06:13:00,57.0
374,06:14:00,58.0
375,06:15:00,57.0
376,06:16:00,57.0
377,06:17:00,57.0
378,06:18:00,57.0
379,06:19:00,57.0
380,06:20:00,56.0
381,06:21:00,56.0
382,06:22:00,56.0
383,06:23:00,56.0
384,06:24:00,56.0
385,06:25:00,56.0
386,06:26:00,56.0
387,06:27:00,57.0
388,06:28:00,57.0
389,06:29:00,55.0
390,06:30:00,56.0
391,06:31:00,56.0
392,06:32:00,57.0
393,06:33:00,57.0
394,06:34:00,55.0
395,06:35:00,57.0
396,06:36:00,57.0
397,06:37:00,56.0
398,06:38:00,57.0
399,06:39:00,56.0
400,06:40:00,57.0
401,06:41:00,61.0
402,06:42:00,61.0
403,06:43:00,54.0
404,06:44:00,56.0
405,06:45:00,66.0
406,06:46:00,62.0
407,06:47:00,71.0
408,06:48:00,55.0
409,06:49:00,57.0
410,06:50:00,55.0
411,06:51:00,56.0
412,06:52:00,54.0
413,06:53:00,53.0
414,06:54:00,53.0
415,06:55:00,53.0
416,06:56:00,53.0
417,06:57:00,52.0
418,06:58:00,51.0
419,06:59:00,53.0
420,07:00:00,66.0
421,07:01:00,59.0
422,07:02:00,58.0
423,07:03:00,57.0
424,07:04:00,56.0
425,07:05:00,72.0
426,07:06:00,62.0
427,07:07:00,59.0
428,07:08:00,57.0
429,07:09:00,57.0
430,07:10:00,59.0
431,07:11:00,62.0
432,07:12:00,63.0
433,07:13:00,60.0
434,07:14:00,60.0
435,07:15:00,64.0
436,07:16:00,64.0
437,07:17:00,75.0
438,07:18:00,69.0
439,07:19:00,69.0
440,07:20:00,70.0
441,07:21:00,64.0
442,07:22:00,75.0
443,07:23:00,68.0
444,07:24:00,83.0
445,07:25:00,73.0
446,07:26:00,75.0
447,07:27:00,75.0
448,07:28:00,75.0
449,07:29:00,73.0
450,07:30:00,73.0
451,07:31:00,70.0
452,07:32:00,70.0
453,07:33:00,75.0
454,07:34:00,72.0
455,07:35:00,70.0
456,07:36:00,73.0
457,07:37:00,71.0
458,07:38:00,70.0
459,07:39:00,66.0
460,07:40:00,69.0
461,07:41:00,65.0
462,07:42:00,69.0
463,07:43:00,71.0
464,07:44:00,69.0
465,07:45:00,69.0
466,07:46:00,69.0
467,07:47:00,70.0
468,07:48:00,70.0
469,07:49:00,68.0
470,07:50:00,72.0
471,07:51:00,72.0
472,07:52:00,67.0
473,07:53:00,64.0
